"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","POST - Register account (positive)","SUCCESS","2023-05-10T16:59:46.543+07:00[Asia/Bangkok]","0.0","5.5"
"Authentication","POST - Register account with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:52.084+07:00[Asia/Bangkok]","0.0","0.26"
"Authentication","POST - Register account without Authorazation (negative)","SUCCESS","2023-05-10T16:59:52.38+07:00[Asia/Bangkok]","0.0","0.36"
"Authentication","POST - Login account (positive)","SUCCESS","2023-05-10T16:59:52.753+07:00[Asia/Bangkok]","0.0","0.16"
"Authentication","POST - Login account with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:52.925+07:00[Asia/Bangkok]","0.0","0.17"
"Authentication","POST - Login account without Authorazation (negative)","SUCCESS","2023-05-10T16:59:53.098+07:00[Asia/Bangkok]","0.0","0.19"
"Authentication","GET - Get user information (positive)","SUCCESS","2023-05-10T16:59:53.293+07:00[Asia/Bangkok]","0.0","0.16"
"Authentication","GET - Get user information with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:53.462+07:00[Asia/Bangkok]","0.0","0.17"
"Authentication","GET - Get user information without Authorazation (negative)","SUCCESS","2023-05-10T16:59:53.634+07:00[Asia/Bangkok]","0.0","0.19"
"Hello","GET - Say Hello (positive)","SUCCESS","2023-05-10T16:59:46.455+07:00[Asia/Bangkok]","0.0","5.59"
"Hello","GET - Say Hello with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:52.063+07:00[Asia/Bangkok]","0.0","0.23"
"Orders","GET - Get all Orders (positive)","SUCCESS","2023-05-10T16:59:46.523+07:00[Asia/Bangkok]","0.0","5.78"
"Orders","GET - Get all Orders with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:52.357+07:00[Asia/Bangkok]","0.0","0.26"
"Orders","GET - Get all Orders without Authorazation (negative)","SUCCESS","2023-05-10T16:59:52.626+07:00[Asia/Bangkok]","0.0","0.19"
"Orders","GET - Get order by ID (positive)","SUCCESS","2023-05-10T16:59:52.819+07:00[Asia/Bangkok]","0.0","0.18"
"Orders","GET - Get order by ID with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:53.028+07:00[Asia/Bangkok]","0.0","0.19"
"Orders","GET - Get order by ID without Authorazation (negative)","SUCCESS","2023-05-10T16:59:53.225+07:00[Asia/Bangkok]","0.0","0.23"
"Product Categories","POST - Create a category (positive)","SUCCESS","2023-05-10T16:59:46.53+07:00[Asia/Bangkok]","0.0","5.51"
"Product Categories","POST - Create a category (negative)","SUCCESS","2023-05-10T16:59:52.072+07:00[Asia/Bangkok]","0.0","0.25"
"Product Categories","POST - Create a category with invalid endpoints(negative)","SUCCESS","2023-05-10T16:59:52.369+07:00[Asia/Bangkok]","0.0","0.37"
"Product Categories","GET - Get category by ID (positive)","SUCCESS","2023-05-10T16:59:52.748+07:00[Asia/Bangkok]","0.0","0.17"
"Product Categories","GET - Get category by ID with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:52.932+07:00[Asia/Bangkok]","0.0","0.16"
"Product Categories","GET - Get All Categories (positive)","SUCCESS","2023-05-10T16:59:53.104+07:00[Asia/Bangkok]","0.0","0.21"
"Product Categories","GET - Get All Categories with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:53.324+07:00[Asia/Bangkok]","0.0","0.13"
"Product Categories","DELETE - As admin I have delete a category (positive)","SUCCESS","2023-05-10T16:59:53.473+07:00[Asia/Bangkok]","0.0","0.16"
"Product Categories","DELETE - As admin I have delete a category with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:53.637+07:00[Asia/Bangkok]","0.0","0.16"
"Products","Get - Get all products (positive)","SUCCESS","2023-05-10T16:59:46.538+07:00[Asia/Bangkok]","0.0","6.1"
"Products","Get - Get all products (negative)","SUCCESS","2023-05-10T16:59:52.655+07:00[Asia/Bangkok]","0.0","0.17"
"Products","POST - Create a new product (positive)","SUCCESS","2023-05-10T16:59:52.836+07:00[Asia/Bangkok]","0.0","0.15"
"Products","POST - Create a new product (negative)","SUCCESS","2023-05-10T16:59:52.997+07:00[Asia/Bangkok]","0.0","0.21"
"Products","GET - As admin I Get product By ID ","SUCCESS","2023-05-10T16:59:53.214+07:00[Asia/Bangkok]","0.0","0.15"
"Products","GET - As admin I Get product By ID ","SUCCESS","2023-05-10T16:59:53.364+07:00[Asia/Bangkok]","0.0","0.19"
"Products","DELETE - As admin I have delete a product (positive)","SUCCESS","2023-05-10T16:59:53.566+07:00[Asia/Bangkok]","0.0","0.17"
"Products","DELETE - As admin I have delete a product with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:53.745+07:00[Asia/Bangkok]","0.0","0.27"
"Products","POST - Assign a product rating (positive)","SUCCESS","2023-05-10T16:59:54.02+07:00[Asia/Bangkok]","0.0","0.19"
"Products","POST - Assign a product rating with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:54.218+07:00[Asia/Bangkok]","0.0","0.38"
"Products","POST - Assign a product rating without Authorazation (negative)","SUCCESS","2023-05-10T16:59:54.601+07:00[Asia/Bangkok]","0.0","0.23"
"Products","GET - Get product ratings (positive)","SUCCESS","2023-05-10T16:59:54.837+07:00[Asia/Bangkok]","0.0","0.17"
"Products","GET - Get product ratings with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:55.013+07:00[Asia/Bangkok]","0.0","0.14"
"Products","POST - Create a comment for product (positive)","SUCCESS","2023-05-10T16:59:55.16+07:00[Asia/Bangkok]","0.0","0.25"
"Products","POST - Create a comment for product with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:55.413+07:00[Asia/Bangkok]","0.0","0.36"
"Products","POST - Create a comment for product without Authorization (negative)","SUCCESS","2023-05-10T16:59:55.78+07:00[Asia/Bangkok]","0.0","0.28"
"Products","GET - Get product comments (positive)","SUCCESS","2023-05-10T16:59:56.063+07:00[Asia/Bangkok]","0.0","0.25"
"Products","GET - Get product comments with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:56.313+07:00[Asia/Bangkok]","0.0","0.12"
