"Story","Title","Result","Date","Stability","Duration (s)"
"Products","Get - Get all products (positive)","SUCCESS","2023-05-10T16:59:46.538+07:00[Asia/Bangkok]","0.0","6.1"
"Products","Get - Get all products (negative)","SUCCESS","2023-05-10T16:59:52.655+07:00[Asia/Bangkok]","0.0","0.17"
"Products","POST - Create a new product (positive)","SUCCESS","2023-05-10T16:59:52.836+07:00[Asia/Bangkok]","0.0","0.15"
"Products","POST - Create a new product (negative)","SUCCESS","2023-05-10T16:59:52.997+07:00[Asia/Bangkok]","0.0","0.21"
"Products","GET - As admin I Get product By ID ","SUCCESS","2023-05-10T16:59:53.214+07:00[Asia/Bangkok]","0.0","0.15"
"Products","GET - As admin I Get product By ID ","SUCCESS","2023-05-10T16:59:53.364+07:00[Asia/Bangkok]","0.0","0.19"
"Products","DELETE - As admin I have delete a product (positive)","SUCCESS","2023-05-10T16:59:53.566+07:00[Asia/Bangkok]","0.0","0.17"
"Products","DELETE - As admin I have delete a product with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:53.745+07:00[Asia/Bangkok]","0.0","0.27"
"Products","POST - Assign a product rating (positive)","SUCCESS","2023-05-10T16:59:54.02+07:00[Asia/Bangkok]","0.0","0.19"
"Products","POST - Assign a product rating with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:54.218+07:00[Asia/Bangkok]","0.0","0.38"
"Products","POST - Assign a product rating without Authorazation (negative)","SUCCESS","2023-05-10T16:59:54.601+07:00[Asia/Bangkok]","0.0","0.23"
"Products","GET - Get product ratings (positive)","SUCCESS","2023-05-10T16:59:54.837+07:00[Asia/Bangkok]","0.0","0.17"
"Products","GET - Get product ratings with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:55.013+07:00[Asia/Bangkok]","0.0","0.14"
"Products","POST - Create a comment for product (positive)","SUCCESS","2023-05-10T16:59:55.16+07:00[Asia/Bangkok]","0.0","0.25"
"Products","POST - Create a comment for product with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:55.413+07:00[Asia/Bangkok]","0.0","0.36"
"Products","POST - Create a comment for product without Authorization (negative)","SUCCESS","2023-05-10T16:59:55.78+07:00[Asia/Bangkok]","0.0","0.28"
"Products","GET - Get product comments (positive)","SUCCESS","2023-05-10T16:59:56.063+07:00[Asia/Bangkok]","0.0","0.25"
"Products","GET - Get product comments with invalid endpoints (negative)","SUCCESS","2023-05-10T16:59:56.313+07:00[Asia/Bangkok]","0.0","0.12"
