"Story","Title","Result","Date","Stability","Duration (s)"
"Products","Get - Get all products (positive)","SUCCESS","2023-05-09T19:35:59.028+07:00[Asia/Bangkok]","0.0","3.54"
"Products","Get - Get all products (negative)","SUCCESS","2023-05-09T19:36:02.574+07:00[Asia/Bangkok]","0.0","0.18"
"Products","POST - Create a new product (positive)","SUCCESS","2023-05-09T19:36:02.759+07:00[Asia/Bangkok]","0.0","0.14"
"Products","POST - Create a new product (negative)","SUCCESS","2023-05-09T19:36:02.907+07:00[Asia/Bangkok]","0.0","0.12"
"Products","GET - As admin I Get product By ID ","SUCCESS","2023-05-09T19:36:03.163+07:00[Asia/Bangkok]","0.0","0.11"
"Products","DELETE - As admin I have delete a product (positive)","SUCCESS","2023-05-09T19:36:03.279+07:00[Asia/Bangkok]","0.0","0.12"
"Products","DELETE - As admin I have delete a product with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.406+07:00[Asia/Bangkok]","0.0","0.15"
"Products","POST - Assign a product rating with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.68+07:00[Asia/Bangkok]","0.0","0.11"
"Products","POST - Assign a product rating without Authorazation (negative)","SUCCESS","2023-05-09T19:36:03.79+07:00[Asia/Bangkok]","0.0","0.1"
"Products","GET - Get product ratings (positive)","SUCCESS","2023-05-09T19:36:03.896+07:00[Asia/Bangkok]","0.0","0.11"
"Products","GET - Get product ratings with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:04.014+07:00[Asia/Bangkok]","0.0","0.09"
"Products","POST - Create a comment for product (positive)","SUCCESS","2023-05-09T19:36:04.102+07:00[Asia/Bangkok]","0.0","0.1"
"Products","POST - Create a comment for product with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:04.208+07:00[Asia/Bangkok]","0.0","0.09"
"Products","POST - Create a comment for product without Authorization (negative)","SUCCESS","2023-05-09T19:36:04.3+07:00[Asia/Bangkok]","0.0","0.09"
"Products","GET - Get product comments (positive)","SUCCESS","2023-05-09T19:36:04.39+07:00[Asia/Bangkok]","0.0","0.11"
"Products","GET - Get product comments with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:04.505+07:00[Asia/Bangkok]","0.0","0.09"
