"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","POST - Register account (positive)","FAILURE","2023-05-09T19:35:58.974+07:00[Asia/Bangkok]","0.0","3.32"
"Authentication","POST - Register account with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:02.322+07:00[Asia/Bangkok]","0.0","0.17"
"Authentication","POST - Register account without Authorazation (negative)","SUCCESS","2023-05-09T19:36:02.497+07:00[Asia/Bangkok]","0.0","0.15"
"Authentication","POST - Login account (positive)","SUCCESS","2023-05-09T19:36:02.651+07:00[Asia/Bangkok]","0.0","0.14"
"Authentication","POST - Login account with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:02.801+07:00[Asia/Bangkok]","0.0","0.15"
"Authentication","POST - Login account without Authorazation (negative)","SUCCESS","2023-05-09T19:36:02.958+07:00[Asia/Bangkok]","0.0","0.12"
"Authentication","GET - Get user information (positive)","SUCCESS","2023-05-09T19:36:03.085+07:00[Asia/Bangkok]","0.0","0.12"
"Authentication","GET - Get user information with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.209+07:00[Asia/Bangkok]","0.0","0.11"
"Authentication","GET - Get user information without Authorazation (negative)","SUCCESS","2023-05-09T19:36:03.329+07:00[Asia/Bangkok]","0.0","0.13"
"Hello","GET - Say Hello (positive)","SUCCESS","2023-05-09T19:35:59.024+07:00[Asia/Bangkok]","0.0","3.18"
"Hello","GET - Say Hello with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:02.302+07:00[Asia/Bangkok]","0.0","0.14"
"Orders","GET - Get all Orders (positive)","SUCCESS","2023-05-09T19:35:59.016+07:00[Asia/Bangkok]","0.0","3.34"
"Orders","GET - Get all Orders with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:02.366+07:00[Asia/Bangkok]","0.0","0.14"
"Orders","GET - Get all Orders without Authorazation (negative)","SUCCESS","2023-05-09T19:36:02.525+07:00[Asia/Bangkok]","0.0","0.14"
"Orders","GET - Get order by ID (positive)","SUCCESS","2023-05-09T19:36:02.676+07:00[Asia/Bangkok]","0.0","0.13"
"Orders","GET - Get order by ID with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:02.812+07:00[Asia/Bangkok]","0.0","0.15"
"Orders","GET - Get order by ID without Authorazation (negative)","SUCCESS","2023-05-09T19:36:02.971+07:00[Asia/Bangkok]","0.0","0.12"
"Product Categories","POST - Create a category (positive)","SUCCESS","2023-05-09T19:35:59.019+07:00[Asia/Bangkok]","0.0","3.18"
"Product Categories","POST - Create a category (negative)","SUCCESS","2023-05-09T19:36:02.227+07:00[Asia/Bangkok]","0.0","0.22"
"Product Categories","POST - Create a category with invalid endpoints(negative)","SUCCESS","2023-05-09T19:36:02.45+07:00[Asia/Bangkok]","0.0","0.15"
"Product Categories","GET - Get category by ID (positive)","SUCCESS","2023-05-09T19:36:02.607+07:00[Asia/Bangkok]","0.0","0.16"
"Product Categories","GET - Get category by ID with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:02.767+07:00[Asia/Bangkok]","0.0","0.14"
"Product Categories","GET - Get All Categories (positive)","SUCCESS","2023-05-09T19:36:02.916+07:00[Asia/Bangkok]","0.0","0.14"
"Product Categories","GET - Get All Categories with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.057+07:00[Asia/Bangkok]","0.0","0.11"
"Product Categories","DELETE - As admin I have delete a category (positive)","SUCCESS","2023-05-09T19:36:03.171+07:00[Asia/Bangkok]","0.0","0.11"
"Product Categories","DELETE - As admin I have delete a category with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.287+07:00[Asia/Bangkok]","0.0","0.13"
"Products","Get - Get all products (positive)","SUCCESS","2023-05-09T19:35:59.028+07:00[Asia/Bangkok]","0.0","3.54"
"Products","Get - Get all products (negative)","SUCCESS","2023-05-09T19:36:02.574+07:00[Asia/Bangkok]","0.0","0.18"
"Products","POST - Create a new product (positive)","SUCCESS","2023-05-09T19:36:02.759+07:00[Asia/Bangkok]","0.0","0.14"
"Products","POST - Create a new product (negative)","SUCCESS","2023-05-09T19:36:02.907+07:00[Asia/Bangkok]","0.0","0.12"
"Products","GET - As admin I Get product By ID ","FAILURE","2023-05-09T19:36:03.036+07:00[Asia/Bangkok]","0.0","0.12"
"Products","GET - As admin I Get product By ID ","SUCCESS","2023-05-09T19:36:03.163+07:00[Asia/Bangkok]","0.0","0.11"
"Products","DELETE - As admin I have delete a product (positive)","SUCCESS","2023-05-09T19:36:03.279+07:00[Asia/Bangkok]","0.0","0.12"
"Products","DELETE - As admin I have delete a product with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.406+07:00[Asia/Bangkok]","0.0","0.15"
"Products","POST - Assign a product rating (positive)","FAILURE","2023-05-09T19:36:03.563+07:00[Asia/Bangkok]","0.0","0.11"
"Products","POST - Assign a product rating with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:03.68+07:00[Asia/Bangkok]","0.0","0.11"
"Products","POST - Assign a product rating without Authorazation (negative)","SUCCESS","2023-05-09T19:36:03.79+07:00[Asia/Bangkok]","0.0","0.1"
"Products","GET - Get product ratings (positive)","SUCCESS","2023-05-09T19:36:03.896+07:00[Asia/Bangkok]","0.0","0.11"
"Products","GET - Get product ratings with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:04.014+07:00[Asia/Bangkok]","0.0","0.09"
"Products","POST - Create a comment for product (positive)","SUCCESS","2023-05-09T19:36:04.102+07:00[Asia/Bangkok]","0.0","0.1"
"Products","POST - Create a comment for product with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:04.208+07:00[Asia/Bangkok]","0.0","0.09"
"Products","POST - Create a comment for product without Authorization (negative)","SUCCESS","2023-05-09T19:36:04.3+07:00[Asia/Bangkok]","0.0","0.09"
"Products","GET - Get product comments (positive)","SUCCESS","2023-05-09T19:36:04.39+07:00[Asia/Bangkok]","0.0","0.11"
"Products","GET - Get product comments with invalid endpoints (negative)","SUCCESS","2023-05-09T19:36:04.505+07:00[Asia/Bangkok]","0.0","0.09"
